id,line,station,line_name
189,7,Лермонтовский проспект,Таганско-Краснопресненская линия
190,7,Жулебино,Таганско-Краснопресненская линия
191,12,Битцевский парк,Бутовская линия
192,12,Лесопарковая,Бутовская линия
193,8,Шелепиха,Калининско-Солнцевская линия
194,8,Парк Победы,Калининско-Солнцевская линия
195,7,Спартак,Таганско-Краснопресненская линия
196,1,Тропарёво,Сокольническая линия
197,7,Котельники,Таганско-Краснопресненская линия
198,2,Технопарк,Замоскворецкая линия
199,1,Румянцево,Сокольническая линия
200,1,Саларьево,Сокольническая линия
201,14,Ботанический сад,Московское центральное кольцо
202,14,Владыкино,Московское центральное кольцо
203,14,Окружная,Московское центральное кольцо
204,14,Лихоборы,Московское центральное кольцо
205,14,Коптево,Московское центральное кольцо
206,14,Балтийская,Московское центральное кольцо
207,14,Стрешнево,Московское центральное кольцо
208,14,Панфиловская,Московское центральное кольцо
209,14,Зорге,Московское центральное кольцо
210,14,Хорошёво,Московское центральное кольцо
211,14,Шелепиха,Московское центральное кольцо
212,14,Деловой центр,Московское центральное кольцо
213,14,Кутузовская,Московское центральное кольцо
214,14,Лужники,Московское центральное кольцо
215,14,Площадь Гагарина,Московское центральное кольцо
216,14,Крымская,Московское центральное кольцо
217,14,Верхние Котлы,Московское центральное кольцо
218,14,ЗИЛ,Московское центральное кольцо
219,14,Автозаводская,Московское центральное кольцо
220,14,Дубровка,Московское центральное кольцо
221,14,Угрешская,Московское центральное кольцо
222,14,Новохохловская,Московское центральное кольцо
223,14,Нижегородская,Московское центральное кольцо
224,14,Андроновка,Московское центральное кольцо
225,14,Шоссе Энтузиастов,Московское центральное кольцо
226,14,Соколиная гора,Московское центральное кольцо
227,14,Измайлово,Московское центральное кольцо
228,14,Локомотив,Московское центральное кольцо
229,14,Бульвар Рокоссовского,Московское центральное кольцо
230,14,Белокаменная,Московское центральное кольцо
231,14,Ростокино,Московское центральное кольцо
232,10,Бутырская,Люблинско-Дмитровская линия
233,10,Фонвизинская,Люблинско-Дмитровская линия
234,10,Петровско-Разумовская,Люблинско-Дмитровская линия
235,8,Минская,Калининско-Солнцевская линия
236,8,Ломоносовский проспект,Калининско-Солнцевская линия
237,8,Раменки,Калининско-Солнцевская линия
238,15,Деловой центр,Большая кольцевая линия
239,15,Шелепиха,Большая кольцевая линия
240,15,Хорошёвская,Большая кольцевая линия
241,15,ЦСКА,Большая кольцевая линия
242,15,Петровский парк,Большая кольцевая линия
243,8,Хорошёвская,Калининско-Солнцевская линия
244,8,ЦСКА,Калининско-Солнцевская линия
245,8,Петровский парк,Калининско-Солнцевская линия
246,2,Ховрино,Замоскворецкая линия
247,10,Окружная,Люблинско-Дмитровская линия
248,10,Верхние Лихоборы,Люблинско-Дмитровская линия
249,10,Селигерская,Люблинско-Дмитровская линия
